date,home_team,away_team,home_goals,away_goals,competition
2024-07-09,Spain,France,2,1,Euro
2024-07-05,Spain,Germany,2,1,Euro
2024-07-01,Spain,Georgia,4,1,Euro
2024-06-30,Spain,Georgia,4,1,Euro
2024-06-26,Spain,Albania,1,0,Euro
2024-06-20,Spain,Italy,1,0,Euro
2024-06-15,Spain,Croatia,3,0,Euro
2024-07-09,France,Spain,1,2,Euro
2024-07-05,France,Portugal,0,0,Euro
2024-06-30,France,Belgium,1,0,Euro
2024-06-25,France,Poland,1,1,Euro
2024-06-21,France,Netherlands,0,0,Euro
2024-06-17,France,Austria,1,0,Euro
2024-03-26,France,Chile,3,2,Friendly
2024-03-23,France,Germany,0,2,Friendly
2024-07-10,Argentina,Canada,2,0,Copa America
2024-07-06,Argentina,Ecuador,1,1,Copa America
2024-06-29,Argentina,Peru,2,0,Copa America
2024-06-25,Argentina,Chile,1,0,Copa America
2024-06-21,Argentina,Canada,2,0,Copa America
2024-07-14,England,Spain,1,2,Euro
2024-07-10,England,Netherlands,2,1,Euro
2024-07-06,England,Switzerland,1,1,Euro
2024-06-30,England,Slovakia,2,1,Euro
2024-06-25,England,Slovenia,0,0,Euro
2024-06-20,England,Denmark,1,1,Euro
2024-06-16,England,Serbia,1,0,Euro
2022-12-18,Argentina,France,3,3,World Cup
2022-12-13,Argentina,Croatia,3,0,World Cup
2022-12-09,Argentina,Netherlands,2,2,World Cup
2022-12-03,Argentina,Australia,2,1,World Cup
2022-11-30,Argentina,Poland,2,0,World Cup
2022-11-26,Argentina,Mexico,2,0,World Cup
2022-11-22,Argentina,Saudi Arabia,1,2,World Cup
2022-12-18,France,Argentina,3,3,World Cup
2022-12-14,France,Morocco,2,0,World Cup
2022-12-10,France,England,2,1,World Cup
2022-12-04,France,Poland,3,1,World Cup
2022-11-30,France,Tunisia,0,1,World Cup
2022-11-26,France,Australia,4,1,World Cup
2022-11-22,France,Denmark,2,1,World Cup
